date,client,platform,campaign,cost,imp,click,cv,budget_monthly,target_cpa
2025-04-01,A社,google,【PMAX】メイン,12352,2012,82,5,1200000,5000
2025-04-01,A社,google,【SEM】ブランド,6277,1036,45,1,1200000,5000
2025-04-01,A社,google,【SEM】車種,5713,1029,37,1,1200000,5000
2025-04-01,A社,google,【DSP】リターゲ,4002,733,37,0,1200000,5000
2025-04-01,A社,google,【動画】月替わり,3406,637,26,0,1200000,5000
2025-04-01,A社,yahoo,【検索】ブランド,1865,244,6,1,400000,5000
2025-04-01,A社,yahoo,【検索】車種,3753,478,15,1,400000,5000
2025-04-01,A社,yahoo,【検索】未使用車,3563,417,12,0,400000,5000
2025-04-01,A社,yahoo,【DSP】リターゲ,1596,199,4,1,400000,5000
2025-04-01,A社,meta,【Instagram】リマケ,3940,2264,22,1,300000,5000
2025-04-01,A社,meta,【Facebook】新規,2511,1386,15,0,300000,5000
2025-04-01,A社,meta,初売り企画,812,473,5,0,300000,5000
2025-04-01,A社,tiktok,UGC風業態訴求,1780,1527,14,0,100000,5000
2025-04-01,A社,tiktok,季節訴求,671,564,4,0,100000,5000
2025-04-01,B社,google,【PMAX】メイン,6040,1060,57,1,800000,8000
2025-04-01,B社,google,【SEM】ブランド,3510,666,26,0,800000,8000
2025-04-01,B社,google,【SEM】車種,3340,573,22,0,800000,8000
2025-04-01,B社,google,【DSP】リターゲ,2591,456,23,0,800000,8000
2025-04-01,B社,google,【動画】月替わり,1643,280,12,0,800000,8000
2025-04-01,B社,yahoo,【検索】ブランド,1026,125,4,1,250000,8000
2025-04-01,B社,yahoo,【検索】車種,1939,213,5,0,250000,8000
2025-04-01,B社,yahoo,【検索】未使用車,1721,218,6,0,250000,8000
2025-04-01,B社,yahoo,【DSP】リターゲ,836,109,3,0,250000,8000
2025-04-01,B社,meta,【Instagram】リマケ,2075,1299,16,1,200000,8000
2025-04-01,B社,meta,【Facebook】新規,1564,894,11,0,200000,8000
