キャンペーンのパフォーマンス
2026年1月1日 - 2026年3月31日
キャンペーン,キャンペーンの状態,キャンペーン タイプ,クリック数,表示回数,クリック率,通貨コード,平均クリック単価,費用,最上部インプレッションの割合,上部インプレッションの割合,コンバージョン,ビュースルー コンバージョン,コンバージョン単価,コンバージョン率
★【PMAX】東信,有効,P-MAX,"9,239","1,043,420",0.89%,JPY,86,796481,0,0,368.39,158,2162,0.13%
★【PMAX】カーボ,有効,P-MAX,"8,662","641,435",1.35%,JPY,109,939952,0,0,476.45,181,1973,0.27%
【両店DSP】2nd,有効,ディスプレイ,"6,693","914,251",0.73%,JPY,30,201009,0,0,265.30,18,758,2.31%
【両店DSP】ファインド,有効,デマンド ジェネレーション,"3,615","117,824",3.07%,JPY,29,103057,0,0,41.52,3,2482,1.15%
【両店SEM】中古車,有効,検索,"2,296","18,850",12.18%,JPY,118,270795,29.23%,87.24%,136.90,0,1978,5.96%
★【動画】月替わり企画動画,有効,動画,"2,122","1,291,118",0.16%,JPY,292,619003,0,0,12.62,1,49051,0.00%
【カーボSEM】メイン,有効,検索,"2,090","24,719",8.46%,JPY,133,277660,39.36%,75.39%,128.92,0,2154,6.17%
【カーボSEM】車種,有効,検索,"1,822","38,524",4.73%,JPY,165,299866,35.15%,72.70%,75.16,5,3990,4.13%
【東信SEM】車種,有効,検索,"1,609","34,579",4.65%,JPY,160,257116,35.86%,71.83%,65.57,0,3921,4.08%
【リース】DSPファインド：2.1万円日予算固定,有効,デマンド ジェネレーション,"1,107","117,948",0.94%,JPY,53,58574,0,0,0.00,4,0,0.00%
【東信SEM】メイン,有効,検索,"1,080","12,953",8.34%,JPY,193,207931,48.16%,71.66%,45.12,0,4609,4.18%
【リースSEM】新車鯖江：3.15万円日予算固定,有効,検索,442,"5,420",8.15%,JPY,209,92427,30.95%,80.59%,4.29,0,21570,0.97%
【SEM】指名,有効,検索,116,539,21.52%,JPY,304,35211,90.78%,93.62%,6.40,0,5498,5.52%
【カーボSEM】コンパクトカー,一時停止,検索,0,0,0,JPY,0,0,0,0,0.00,0,0,0
【ローカル】,削除済み,ローカル,0,0,0,JPY,0,0,0,0,0.00,0,0,0
【両店SEM】中古車 #2,一時停止,検索,0,0,0,JPY,0,0,0,0,0.00,0,0,0
PMax: 【ローカル】,一時停止,P-MAX,0,0,0,JPY,0,0,0,0,0.00,0,0,0
【SEM】加賀小松エリア,一時停止,検索,0,0,0,JPY,0,0,0,0,0.00,0,0,0
【東信SEM】軽スライド,一時停止,検索,0,0,0,JPY,0,0,0,0,0.00,0,0,0
【カーボSEM】車種 #2,一時停止,検索,0,0,0,JPY,0,0,0,0,0.00,0,0,0
【カーボSEM】軽スライド,一時停止,検索,0,0,0,JPY,0,0,0,0,0.00,0,0,0
【PMAX】東信（停止）＃1,一時停止,P-MAX,0,0,0,JPY,0,0,0,0,0.00,0,0,0
【PMAX】カーボ（停止）＃1,一時停止,P-MAX,0,0,0,JPY,0,0,0,0,0.00,0,0,0
【両店】節約訴求バナー,削除済み,デマンド ジェネレーション,0,0,0,JPY,0,0,0,0,0.00,0,0,0
【両店FIND】節約訴求,一時停止,デマンド ジェネレーション,0,0,0,JPY,0,0,0,0,0.00,0,0,0
